City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,mhasvad,17.6333,74.7833,29.85,39,71,2.41,IN,1683176996
83,port alfred,-33.5906,26.891,17.12,85,0,3.2,ZA,1683176917
84,marsh harbour,26.5412,-77.0636,24.2,66,35,2.39,BS,1683176722
85,nantucket,41.2835,-70.0995,9.08,92,100,4.63,US,1683176996
86,aoulef,26.9667,1.0833,26.91,14,36,4.33,DZ,1683176996
87,mufulira,-12.5498,28.2407,11.84,85,1,1.5,ZM,1683176996
88,ulverstone,-41.15,146.1667,15.67,73,7,2.67,AU,1683176759
89,whitehorse,60.7161,-135.0538,6.43,33,20,3.09,CA,1683176339
90,klyuchi,52.2667,79.1667,12.66,30,30,3.75,RU,1683176997
91,talnakh,69.4865,88.3972,-2.66,94,100,3.99,RU,1683176997
92,sinsang-ni,39.6503,127.4058,22.68,50,100,3.1,KP,1683176998
93,conduaga,8.862,117.4893,30.13,70,98,2.97,PH,1683176998
94,isafjordur,66.0755,-23.124,3.71,75,100,0.66,IS,1683176998
95,lihue,21.9789,-159.3672,26.58,81,75,7.72,US,1683176903
96,puerto colombia,10.9878,-74.9547,28.05,81,4,8.99,CO,1683176998
97,longyearbyen,78.2186,15.6401,-4.09,93,75,1.54,SJ,1683176998
98,zaragoza,41.6561,-0.8773,16.12,58,0,1.54,ES,1683176905
99,nizhnesortymskiy,62.4397,71.7603,7.45,97,100,7.03,RU,1683176999
100,dawei,14.0833,98.2,34.65,51,70,4.17,MM,1683176999
101,puerto ayora,-0.7393,-90.3518,25.86,95,19,2.23,EC,1683176999
102,makoua,0.0069,15.6333,21.48,98,76,1.18,CG,1683176999
103,anadyr,64.75,177.4833,-4.72,74,0,3.0,RU,1683176999
104,kodinsk,58.6881,99.1844,7.37,68,100,3.28,RU,1683177000
105,papatowai,-46.5619,169.4708,14.23,91,28,2.65,NZ,1683177000
106,susuman,62.7833,148.1667,0.13,73,98,1.48,RU,1683177000
107,malmberget,67.1753,20.6549,-4.69,68,0,3.09,SE,1683177000
108,makueni boma,-1.8041,37.6203,18.61,87,41,0.58,KE,1683177001
109,ulladulla,-35.35,150.4667,19.32,56,35,3.2,AU,1683177001
110,fort st. john,56.2499,-120.8529,12.82,49,5,1.42,CA,1683177001
111,ichinoseki,38.9167,141.1333,24.63,26,25,3.92,JP,1683177001
112,mandal,25.45,74.5667,29.85,38,0,0.84,IN,1683176891
113,ghadamis,30.1337,9.5007,19.35,27,1,3.18,LY,1683177002
114,margaret river,-33.95,115.0667,19.69,49,43,5.36,AU,1683177002
115,vize,41.5725,27.7658,11.02,98,100,3.68,TR,1683177002
116,colonia,50.9333,6.95,9.98,69,0,1.54,DE,1683176833
117,hermanus,-34.4187,19.2345,13.78,84,3,0.77,ZA,1683177003
118,vila franca do campo,37.7167,-25.4333,17.23,91,77,5.26,PT,1683177003
119,soure,-0.7167,-48.5233,25.66,88,93,5.42,BR,1683177003
120,kimbe,-5.5502,150.1429,29.07,78,99,0.73,PG,1683177004
121,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,53,40,6.0,RU,1683177004
122,bubaque,11.2833,-15.8333,25.9,85,90,4.26,GW,1683177004
123,georgetown,5.4112,100.3354,31.97,66,20,4.63,MY,1683176665
124,kismayo,-0.3582,42.5454,26.96,79,29,5.29,SO,1683177004
125,candelaria,13.9311,121.4233,30.22,58,77,3.76,PH,1683177005
126,ataq,14.5377,46.8319,25.28,55,100,1.72,YE,1683177005
127,hithadhoo,-0.6,73.0833,27.33,84,100,10.65,MV,1683177005
128,sidi aissa,35.8855,3.7724,15.54,31,97,1.12,DZ,1683177005
129,sanctuary point,-35.1114,150.629,19.3,57,20,3.63,AU,1683177005
130,kiiminki,65.1314,25.7974,-0.13,77,76,4.23,FI,1683177006
131,oranjemund,-28.55,16.4333,11.57,94,71,2.28,NA,1683177006
132,tura,25.5198,90.2201,23.93,79,79,0.86,IN,1683177006
133,bardai,11.65,7.2333,24.19,62,35,3.24,NG,1683177006
